Location,Area_SqFt,BHK,Bathrooms,Parking,Property_Age,Floor_Number,Total_Floors,Price,Price_Per_SqFt,Floor_Ratio,Location_Encoded
Jubilee Hills,1753.6,3,3,3.0,5,0,2,23329539.0,13303.8,0.0,7
Madhapur,1259.6,2,2,1.0,2,5,15,11602698.0,9211.4,0.333,12
Madhapur,1686.1,3,4,1.0,1,4,14,14881377.0,8825.9,0.286,12
Nallagandla,1115.5,2,2,2.0,20,2,3,6224765.0,5580.2,0.667,15
Madhapur,1333.3,2,3,1.0,2,4,13,10107344.0,7580.7,0.308,12
Financial District,1278.5,2,3,1.0,15,8,14,11913501.0,9318.3,0.571,4
Banjara Hills,542.3,1,1,3.0,10,3,4,7063904.0,13025.8,0.75,1
Manikonda,2079.2,4,5,1.0,2,1,3,12757838.0,6135.9,0.333,13
Uppal,1193.0,2,3,1.0,1,0,2,5120963.0,4292.5,0.0,19
Manikonda,1073.9,2,2,2.0,7,2,21,6521854.0,6073.1,0.095,13
Miyapur,2360.6,4,5,1.0,20,2,6,10023203.0,4246.0,0.333,14
Bowenpally,1181.7,2,2,1.0,2,8,9,6116614.0,5176.1,0.889,3
Financial District,518.9,1,2,2.0,7,3,7,5198691.0,10018.7,0.429,4
Shaikpet,1050.2,2,2,1.0,5,4,6,7497495.0,7139.1,0.667,17
Uppal,1493.4,3,4,1.0,10,3,4,6353282.0,4254.2,0.75,19
LB Nagar,1967.7,3,3,1.0,5,19,19,8564594.0,4352.6,1.0,11
Miyapur,1165.8,2,2,1.0,1,17,24,6815603.0,5846.3,0.708,14
Nizampet,3311.3,5,5,1.0,2,7,11,18953267.0,5723.8,0.636,16
Shaikpet,1186.0,2,2,1.0,1,13,19,9192680.0,7751.0,0.684,17
Begumpet,1777.8,3,3,1.0,15,7,8,11925817.0,6708.2,0.875,2
Nizampet,2177.6,4,4,1.0,20,16,23,10135534.0,4654.5,0.696,16
Uppal,1140.8,2,2,1.0,2,10,22,5803235.0,5087.0,0.455,19
Ameerpet,888.9,2,2,1.0,5,2,9,5309492.0,5973.1,0.222,0
Bowenpally,1411.5,3,3,1.0,2,0,3,6853612.0,4855.6,0.0,3
Madhapur,1056.8,2,2,1.0,10,12,16,9140082.0,8648.8,0.75,12
Kompally,1740.9,3,3,1.0,2,13,18,8782941.0,5045.1,0.722,8
Tellapur,1367.1,2,2,0.0,1,1,6,9582422.0,7009.3,0.167,18
Nallagandla,1575.1,3,3,0.0,25,15,18,8687453.0,5515.5,0.833,15
Kondapur,1489.5,3,3,1.0,10,10,19,9994829.0,6710.2,0.526,9
Miyapur,634.5,1,2,1.0,10,11,12,3258075.0,5134.9,0.917,14
Banjara Hills,1190.8,2,2,1.0,5,0,4,16691909.0,14017.4,0.0,1
Financial District,1015.8,2,3,1.0,7,9,22,9912044.0,9757.9,0.409,4
Kukatpally,3168.3,5,6,0.0,10,3,6,20259970.0,6394.6,0.5,10
Kompally,1711.7,3,4,1.0,3,16,18,8146894.0,4759.5,0.889,8
Kukatpally,1175.5,2,2,2.0,5,0,8,7454439.0,6341.5,0.0,10
Kompally,1119.3,2,2,1.0,1,5,9,5487461.0,4902.6,0.556,8
Shaikpet,2495.5,4,5,1.0,20,0,2,15171112.0,6079.4,0.0,17
Banjara Hills,960.0,2,2,2.0,7,6,8,11741411.0,12230.6,0.75,1
Kompally,1156.7,2,2,0.0,5,9,16,4846114.0,4189.6,0.562,8
LB Nagar,1010.2,2,2,2.0,1,1,3,3867931.0,3828.9,0.333,11
Uppal,1766.3,3,3,2.0,10,8,13,8583105.0,4859.4,0.615,19
Uppal,2030.5,4,4,1.0,0,14,22,8815393.0,4341.5,0.636,19
Kompally,1150.4,2,3,0.0,2,0,3,6208946.0,5397.2,0.0,8
Begumpet,822.0,1,2,1.0,3,5,16,6811851.0,8286.9,0.312,2
Miyapur,1658.2,3,3,1.0,3,0,6,9926401.0,5986.3,0.0,14
Tellapur,2764.4,5,5,3.0,2,17,21,20053373.0,7254.2,0.81,18
Financial District,1180.6,2,2,2.0,3,2,12,11059616.0,9367.8,0.167,4
Bowenpally,1173.4,2,2,1.0,7,0,18,7010317.0,5974.4,0.0,3
Begumpet,1468.7,3,3,1.0,5,4,22,11715803.0,7977.0,0.182,2
Manikonda,1466.0,3,3,1.0,3,0,10,9873324.0,6734.9,0.0,13
Nallagandla,1059.3,2,2,2.0,5,4,8,6784886.0,6405.1,0.5,15
Kompally,1566.1,3,3,1.0,2,3,14,7669906.0,4897.5,0.214,8
Madhapur,2097.4,4,4,3.0,5,6,8,17082388.0,8144.6,0.75,12
Kondapur,2311.8,4,4,3.0,7,0,5,16987987.0,7348.4,0.0,9
Miyapur,808.9,2,2,1.0,1,0,16,3954203.0,4888.4,0.0,14
LB Nagar,1964.8,4,5,2.0,5,20,24,9142471.0,4653.1,0.833,11
Nizampet,2497.5,4,4,1.0,3,7,7,15310900.0,6130.5,1.0,16
Bowenpally,3194.4,5,5,1.0,15,17,18,13700396.0,4288.9,0.944,3
LB Nagar,3314.4,5,5,1.0,2,1,5,16329065.0,4926.7,0.2,11
Miyapur,1114.7,2,2,2.0,10,1,8,5723243.0,5134.3,0.125,14
Begumpet,1645.9,3,3,1.0,3,1,6,12476472.0,7580.3,0.167,2
Ameerpet,1770.7,3,4,3.0,15,4,13,9403406.0,5310.6,0.308,0
Madhapur,1453.3,3,3,1.0,2,3,9,12015276.0,8267.6,0.333,12
Uppal,997.2,2,2,1.0,0,13,18,5405264.0,5420.4,0.722,19
Kondapur,577.6,1,2,3.0,7,9,18,4495439.0,7783.0,0.5,9
Financial District,2315.9,4,4,3.0,10,9,24,20610542.0,8899.6,0.375,4
Kukatpally,1656.4,3,3,1.0,1,2,20,10634725.0,6420.4,0.1,10
Shaikpet,1205.0,2,2,1.0,5,6,12,8298043.0,6886.3,0.5,17
Bowenpally,1173.5,2,2,1.0,3,6,21,5994152.0,5107.9,0.286,3
Manikonda,2224.5,4,4,2.0,10,6,14,13391582.0,6020.0,0.429,13
Uppal,1727.7,3,3,1.0,15,2,3,7164979.0,4147.1,0.667,19
Begumpet,1797.3,3,3,3.0,7,0,6,14588465.0,8116.9,0.0,2
Miyapur,1606.2,3,4,1.0,1,4,7,8568526.0,5334.7,0.571,14
Kondapur,2299.7,4,4,2.0,7,0,7,17347864.0,7543.5,0.0,9
Gachibowli,1206.2,2,3,2.0,2,11,11,11137807.0,9233.8,1.0,5
Kukatpally,1502.1,2,2,2.0,7,13,18,9558768.0,6363.6,0.722,10
Hitech City,2905.8,5,5,1.0,1,5,5,24252907.0,8346.4,1.0,6
LB Nagar,972.9,2,3,1.0,3,3,25,4587769.0,4715.6,0.12,11
Bowenpally,685.9,1,1,1.0,5,0,20,3530395.0,5147.1,0.0,3
Banjara Hills,1700.4,3,3,1.0,0,10,14,24101170.0,14173.8,0.714,1
Kompally,1292.1,2,3,1.0,1,12,13,6770160.0,5239.7,0.923,8
Kukatpally,2121.6,3,3,2.0,5,9,11,13969453.0,6584.4,0.818,10
Kukatpally,2347.4,4,4,0.0,7,5,6,13521812.0,5760.3,0.833,10
Jubilee Hills,1033.5,2,2,1.0,10,5,17,14880737.0,14398.4,0.294,7
Madhapur,1911.5,3,3,2.0,7,1,11,15505314.0,8111.6,0.091,12
Kondapur,1690.3,3,4,3.0,0,6,10,14025917.0,8297.9,0.6,9
Nallagandla,998.6,2,3,2.0,0,12,12,7515291.0,7525.8,1.0,15
LB Nagar,1382.9,3,3,1.0,3,1,21,5780111.0,4179.7,0.048,11
Kukatpally,1037.5,2,2,1.0,3,0,3,5993461.0,5776.8,0.0,10
LB Nagar,2173.4,4,5,1.0,10,1,2,8685496.0,3996.3,0.5,11
Hitech City,1199.8,2,2,1.0,5,0,15,11234998.0,9364.1,0.0,6
Bowenpally,1652.6,3,3,1.0,2,2,12,8440905.0,5107.7,0.167,3
LB Nagar,2198.8,4,4,1.0,5,0,20,10058274.0,4574.4,0.0,11
Manikonda,1367.2,2,2,1.0,3,0,18,8665588.0,6338.2,0.0,13
Nallagandla,1041.3,2,2,1.0,3,11,19,6579543.0,6318.6,0.579,15
Manikonda,2073.3,4,4,1.0,2,2,2,12685722.0,6118.6,1.0,13
Gachibowli,2686.3,4,4,1.0,15,10,16,21702942.0,8079.1,0.625,5
Manikonda,1180.8,2,3,0.0,2,3,3,6665581.0,5645.0,1.0,13
Jubilee Hills,1763.9,3,4,2.0,15,2,10,25376172.0,14386.4,0.2,7
Gachibowli,899.5,2,2,0.0,3,5,10,7742360.0,8607.4,0.5,5
Kompally,1360.5,3,3,1.0,10,11,17,6916149.0,5083.5,0.647,8
Ameerpet,2520.7,4,4,1.0,5,3,16,13786737.0,5469.4,0.188,0
LB Nagar,2346.2,4,5,1.0,3,0,2,10915645.0,4652.5,0.0,11
Ameerpet,1099.0,2,2,1.0,7,4,4,6481510.0,5897.6,1.0,0
Bowenpally,1285.9,3,3,2.0,0,10,18,6711096.0,5219.0,0.556,3
LB Nagar,2112.3,4,4,3.0,5,22,23,9643726.0,4565.5,0.957,11
Miyapur,1770.5,3,3,1.0,7,7,22,9137779.0,5161.1,0.318,14
Ameerpet,1865.5,4,5,1.0,3,2,7,10935405.0,5861.9,0.286,0
Kukatpally,1101.0,2,2,1.0,0,15,16,6437910.0,5847.3,0.938,10
Kondapur,2601.4,4,4,2.0,7,21,25,17152552.0,6593.6,0.84,9
Uppal,2105.7,4,5,1.0,2,2,10,9139702.0,4340.5,0.2,19
Nallagandla,938.6,2,3,1.0,1,7,23,6826634.0,7273.2,0.304,15
Gachibowli,1524.4,3,3,3.0,20,3,7,10541316.0,6915.1,0.429,5
Nizampet,2885.4,4,4,1.0,15,1,15,13494949.0,4677.0,0.067,16
Bowenpally,2087.1,4,4,1.0,0,2,4,9648031.0,4622.7,0.5,3
Miyapur,703.7,1,2,1.0,3,2,6,3706085.0,5266.6,0.333,14
LB Nagar,1032.6,2,2,2.0,7,11,16,4325186.0,4188.6,0.688,11
Ameerpet,675.0,1,2,0.0,3,8,13,3918384.0,5805.0,0.615,0
Nizampet,1726.0,3,3,1.0,0,12,18,10265782.0,5947.7,0.667,16
Nizampet,1148.3,2,2,2.0,15,14,17,6432207.0,5601.5,0.824,16
Jubilee Hills,1576.1,3,4,0.0,10,7,12,21208745.0,13456.5,0.583,7
LB Nagar,612.4,1,1,2.0,7,0,12,2757308.0,4502.5,0.0,11
Uppal,1120.0,2,3,2.0,15,6,16,5058202.0,4516.3,0.375,19
Begumpet,1063.6,2,2,1.0,3,21,21,8461316.0,7955.4,1.0,2
Uppal,1251.5,2,3,2.0,2,24,24,6137238.0,4903.9,1.0,19
Tellapur,1041.4,2,2,2.0,5,1,10,6617814.0,6354.7,0.1,18
Financial District,1541.7,3,4,1.0,3,14,20,15980938.0,10365.8,0.7,4
Financial District,2382.6,4,4,0.0,1,2,3,21387346.0,8976.5,0.667,4
Ameerpet,1119.7,2,3,1.0,10,8,20,6505170.0,5809.7,0.4,0
Nizampet,1535.6,3,4,1.0,1,9,10,8271951.0,5386.8,0.9,16
Hitech City,1385.5,3,4,1.0,3,6,6,14341654.0,10351.2,1.0,6
LB Nagar,1172.9,2,2,3.0,0,3,4,6231356.0,5312.8,0.75,11
Bowenpally,2256.5,4,5,1.0,5,5,10,10662984.0,4725.5,0.5,3
Shaikpet,2899.9,4,4,1.0,0,11,16,18564882.0,6401.9,0.688,17
Ameerpet,1704.1,3,3,1.0,1,0,4,10054234.0,5900.0,0.0,0
Tellapur,1517.7,3,3,1.0,5,0,2,10192336.0,6715.6,0.0,18
Bowenpally,604.6,1,1,1.0,0,7,14,2939177.0,4861.4,0.5,3
Kukatpally,1540.5,3,3,2.0,7,11,18,9150891.0,5940.2,0.611,10
Manikonda,1731.1,3,3,1.0,20,5,11,9218146.0,5325.0,0.455,13
LB Nagar,1439.8,2,2,3.0,10,6,6,5877777.0,4082.4,1.0,11
Financial District,1160.6,2,3,2.0,0,11,11,10979924.0,9460.6,1.0,4
Nizampet,1293.3,2,2,1.0,0,17,18,7399653.0,5721.5,0.944,16
Kukatpally,1672.3,3,3,2.0,0,8,12,11391419.0,6811.8,0.667,10
Nizampet,1489.4,3,4,1.0,10,1,21,7658164.0,5141.8,0.048,16
Financial District,1652.8,3,3,1.0,7,21,22,17009428.0,10291.3,0.955,4
Banjara Hills,1160.3,2,2,1.0,5,1,3,17289816.0,14901.2,0.333,1
Shaikpet,1862.3,3,3,2.0,3,12,25,14231363.0,7641.8,0.48,17
Kukatpally,2680.5,4,4,1.0,25,17,25,12953098.0,4832.3,0.68,10
Miyapur,1094.2,2,2,1.0,5,0,3,5537060.0,5060.4,0.0,14
Bowenpally,1259.9,2,3,2.0,2,2,6,7080310.0,5619.7,0.333,3
Begumpet,2258.9,4,4,1.0,1,2,10,17665614.0,7820.4,0.2,2
Gachibowli,913.1,2,3,1.0,1,12,17,7437455.0,8145.3,0.706,5
Tellapur,2225.1,4,4,1.0,0,14,16,16381954.0,7362.3,0.875,18
Kompally,1748.6,3,3,2.0,5,13,18,9046909.0,5173.8,0.722,8
Shaikpet,1770.0,3,3,1.0,7,9,15,11837545.0,6687.9,0.6,17
Hitech City,2239.9,4,5,1.0,5,1,5,20373300.0,9095.6,0.2,6
Ameerpet,2117.8,4,5,1.0,2,4,23,14629779.0,6908.0,0.174,0
Begumpet,494.9,1,2,1.0,1,1,8,3272003.0,6611.4,0.125,2
Bowenpally,1179.4,2,3,1.0,0,0,2,6139992.0,5206.0,0.0,3
Nallagandla,1299.7,3,4,2.0,10,0,7,8293176.0,6380.8,0.0,15
Jubilee Hills,1641.0,3,3,1.0,1,3,15,22153421.0,13500.0,0.2,7
Bowenpally,1625.7,3,4,1.0,3,5,6,8330366.0,5124.2,0.833,3
Manikonda,1455.7,3,3,3.0,0,0,3,8504000.0,5841.9,0.0,13
Nallagandla,935.0,2,3,0.0,1,9,11,7655021.0,8187.2,0.818,15
Miyapur,1739.5,3,4,1.0,3,6,11,9639476.0,5541.5,0.545,14
Hitech City,1213.1,2,3,1.0,7,12,18,12602363.0,10388.6,0.667,6
Kukatpally,925.7,2,3,3.0,2,2,18,4787843.0,5172.1,0.111,10
Hitech City,1017.4,2,3,2.0,2,2,2,9721163.0,9554.9,1.0,6
Gachibowli,1051.8,2,3,1.0,1,1,3,9395435.0,8932.7,0.333,5
Miyapur,914.0,2,2,1.0,3,2,14,4791525.0,5242.4,0.143,14
Kondapur,977.5,2,3,1.0,7,0,12,6684678.0,6838.5,0.0,9
Kompally,2970.8,5,6,0.0,10,13,16,12778488.0,4301.4,0.812,8
Kukatpally,1990.9,4,5,1.0,5,2,6,12636128.0,6346.9,0.333,10
Hitech City,1235.8,3,3,0.0,3,11,14,11324248.0,9163.5,0.786,6
Begumpet,1376.4,3,3,1.0,1,1,4,9085970.0,6601.3,0.25,2
Begumpet,2030.7,4,4,1.0,10,2,2,14916848.0,7345.7,1.0,2
Financial District,1046.5,2,2,1.0,0,1,15,9474017.0,9053.1,0.067,4
Jubilee Hills,1217.4,2,2,2.0,1,8,22,20709454.0,17011.2,0.364,7
Financial District,1469.3,3,3,3.0,25,18,23,12211900.0,8311.4,0.783,4
Kompally,1791.2,3,3,1.0,3,11,18,9050261.0,5052.6,0.611,8
Uppal,1852.4,3,3,1.0,5,0,15,7934856.0,4283.6,0.0,19
Nizampet,2338.1,4,4,0.0,0,18,18,12100764.0,5175.5,1.0,16
Nizampet,1041.7,2,3,1.0,10,21,25,6148138.0,5902.0,0.84,16
Nizampet,1300.2,2,2,0.0,15,3,9,6153184.0,4732.5,0.333,16
Hitech City,2477.8,4,4,1.0,7,0,2,21489601.0,8672.9,0.0,6
Nizampet,669.8,1,2,1.0,2,8,11,3502469.0,5229.1,0.727,16
Financial District,1275.2,2,3,3.0,10,0,3,12810274.0,10045.7,0.0,4
Shaikpet,1388.5,3,3,1.0,2,0,12,10085219.0,7263.4,0.0,17
Kondapur,1202.9,2,2,2.0,10,9,21,8641722.0,7184.1,0.429,9
Nallagandla,1247.0,2,3,3.0,3,0,5,8041361.0,6448.6,0.0,15
Gachibowli,1656.9,3,3,2.0,10,4,4,12060726.0,7279.1,1.0,5
Kondapur,1843.2,3,4,0.0,15,1,23,11826640.0,6416.4,0.043,9
Uppal,3765.9,5,5,1.0,2,10,12,18856904.0,5007.3,0.833,19
LB Nagar,1930.4,3,4,2.0,5,7,14,8042726.0,4166.4,0.5,11
Ameerpet,1492.2,3,3,2.0,10,16,19,9384986.0,6289.4,0.842,0
Shaikpet,2168.9,4,4,2.0,2,17,20,17250483.0,7953.6,0.85,17
Shaikpet,1593.6,3,4,1.0,7,0,7,11117893.0,6976.6,0.0,17
Kondapur,1776.8,3,4,1.0,0,11,17,13302804.0,7486.9,0.647,9
Bowenpally,2125.8,4,5,1.0,7,11,25,11189874.0,5263.8,0.44,3
Nallagandla,1699.4,3,3,1.0,2,4,4,11340656.0,6673.3,1.0,15
Kompally,2344.8,4,5,3.0,0,4,24,11572888.0,4935.6,0.167,8
Bowenpally,1528.0,3,3,0.0,1,10,23,7508283.0,4913.8,0.435,3
Nizampet,2156.3,4,4,2.0,1,6,8,12099659.0,5611.3,0.75,16
Gachibowli,1306.4,2,2,2.0,15,6,6,9209733.0,7049.7,1.0,5
Nizampet,1847.2,3,3,1.0,5,0,2,9646045.0,5222.0,0.0,16
Gachibowli,831.0,1,1,0.0,10,10,12,7111910.0,8558.3,0.833,5
Bowenpally,1755.7,3,4,1.0,15,0,12,9205028.0,5242.9,0.0,3
Nallagandla,1829.0,3,3,0.0,5,3,9,10608415.0,5800.1,0.333,15
Kondapur,770.8,1,1,2.0,0,6,15,5984601.0,7764.1,0.4,9
Kompally,1702.3,3,3,3.0,0,15,23,9216590.0,5414.2,0.652,8
Banjara Hills,1127.5,2,3,1.0,5,2,5,14587958.0,12938.3,0.4,1
Tellapur,1265.5,2,2,1.0,10,7,9,7836626.0,6192.5,0.778,18
Ameerpet,1704.6,3,4,1.0,3,11,21,10826159.0,6351.1,0.524,0
Shaikpet,2427.6,4,4,1.0,7,0,8,14664743.0,6040.8,0.0,17
Shaikpet,1036.4,2,3,1.0,7,0,2,6797856.0,6559.1,0.0,17
Ameerpet,2507.5,4,5,2.0,3,1,11,15207978.0,6065.0,0.091,0
Madhapur,648.7,1,1,2.0,0,2,2,5741060.0,8850.1,1.0,12
Uppal,1166.2,2,3,1.0,1,6,7,5529300.0,4741.3,0.857,19
Miyapur,1265.3,2,2,2.0,2,4,6,6736811.0,5324.3,0.667,14
Shaikpet,945.4,2,2,1.0,20,10,12,5686302.0,6014.7,0.833,17
Shaikpet,1368.0,2,2,2.0,20,8,13,8105475.0,5925.1,0.615,17
Hitech City,1097.4,2,2,2.0,1,2,2,9158330.0,8345.5,1.0,6
Gachibowli,2270.8,4,4,1.0,10,1,12,19684641.0,8668.6,0.083,5
Begumpet,2434.5,4,4,2.0,1,8,11,18977979.0,7795.4,0.727,2
Kondapur,2288.9,4,4,1.0,2,10,10,14279997.0,6238.8,1.0,9
Kukatpally,890.6,2,2,1.0,3,0,5,5826858.0,6542.6,0.0,10
Kondapur,1794.0,3,3,1.0,15,15,19,12766859.0,7116.4,0.789,9
LB Nagar,962.2,2,3,0.0,5,4,4,3505117.0,3642.8,1.0,11
Financial District,928.5,2,2,1.0,5,2,24,8077195.0,8699.2,0.083,4
LB Nagar,1840.2,3,4,1.0,3,1,4,7894185.0,4289.9,0.25,11
Jubilee Hills,1264.4,2,2,3.0,1,22,24,19165002.0,15157.4,0.917,7
Begumpet,2632.0,4,4,2.0,7,9,10,20370020.0,7739.4,0.9,2
Nizampet,1393.8,2,3,1.0,0,16,20,7345446.0,5270.1,0.8,16
Hitech City,1703.1,3,3,0.0,10,12,24,13688374.0,8037.3,0.5,6
Begumpet,1153.8,2,2,1.0,5,15,24,8101096.0,7021.2,0.625,2
Manikonda,1559.9,3,4,3.0,25,6,11,8213640.0,5265.5,0.545,13
Uppal,1067.1,2,3,1.0,7,6,8,4692681.0,4397.6,0.75,19
Hitech City,1137.3,2,2,0.0,2,4,20,9420920.0,8283.6,0.2,6
Uppal,1117.0,2,2,0.0,2,4,23,5232255.0,4684.2,0.174,19
Financial District,1586.9,3,4,2.0,3,7,23,13997668.0,8820.8,0.304,4
Nallagandla,1689.9,3,3,3.0,7,3,20,11519927.0,6816.9,0.15,15
Shaikpet,1282.3,2,2,2.0,5,19,25,9869949.0,7697.1,0.76,17
Ameerpet,2375.2,4,4,2.0,15,2,5,12957060.0,5455.1,0.4,0
Miyapur,1619.9,3,4,1.0,15,6,11,9198596.0,5678.5,0.545,14
Financial District,990.7,2,3,1.0,0,6,9,11173393.0,11278.3,0.667,4
Madhapur,528.5,1,2,2.0,15,1,4,4361077.0,8251.8,0.25,12
Begumpet,2118.5,4,4,1.0,15,0,20,14661679.0,6920.8,0.0,2
Gachibowli,1842.7,3,3,1.0,2,6,23,16582510.0,8999.0,0.261,5
Hitech City,863.4,2,2,1.0,3,0,3,7570717.0,8768.5,0.0,6
Banjara Hills,1548.5,3,4,1.0,3,16,24,23637449.0,15264.7,0.667,1
Nallagandla,1624.9,3,3,1.0,15,3,17,10171571.0,6259.8,0.176,15
Nizampet,1720.8,3,3,2.0,0,2,2,9436357.0,5483.7,1.0,16
Miyapur,975.2,2,2,2.0,10,9,15,5427029.0,5565.0,0.6,14
Ameerpet,2296.2,4,4,2.0,2,15,20,14914129.0,6495.1,0.75,0
Ameerpet,1028.7,2,3,1.0,0,10,14,7072400.0,6875.1,0.714,0
Hitech City,1222.0,2,3,1.0,7,2,6,11638917.0,9524.5,0.333,6
Hitech City,1486.2,3,4,1.0,3,5,11,15334132.0,10317.7,0.455,6
Bowenpally,1581.7,3,4,1.0,2,3,19,7974850.0,5041.9,0.158,3
Tellapur,2387.2,4,4,2.0,1,15,15,16838842.0,7053.8,1.0,18
Uppal,1063.2,2,2,1.0,0,2,20,3990140.0,3753.0,0.1,19
Uppal,1057.4,2,3,1.0,1,11,11,4712512.0,4456.7,1.0,19
Madhapur,998.4,2,2,1.0,7,15,25,7774688.0,7787.1,0.6,12
Kukatpally,1606.2,3,4,1.0,20,2,3,7766088.0,4835.1,0.667,10
Manikonda,2379.5,4,4,1.0,7,11,16,15229295.0,6400.2,0.688,13
Manikonda,2172.7,4,4,1.0,1,10,11,14720405.0,6775.2,0.909,13
Begumpet,1366.2,3,3,2.0,5,4,22,10329268.0,7560.6,0.182,2
Hitech City,747.3,1,1,2.0,3,4,6,7171782.0,9596.9,0.667,6
Financial District,1949.8,4,5,1.0,25,4,9,17091359.0,8765.7,0.444,4
Miyapur,554.6,1,2,2.0,3,10,15,3542087.0,6386.7,0.667,14
Kondapur,1193.4,2,2,0.0,1,0,14,9008498.0,7548.6,0.0,9
Banjara Hills,1273.6,2,3,1.0,0,11,14,16808508.0,13197.6,0.786,1
Manikonda,1622.2,3,3,2.0,15,5,9,9179075.0,5658.4,0.556,13
Banjara Hills,1147.6,2,2,1.0,1,1,2,15721920.0,13699.8,0.5,1
Financial District,2470.1,4,4,1.0,7,8,9,23153552.0,9373.5,0.889,4
Kompally,1777.6,3,4,1.0,20,5,16,7207806.0,4054.8,0.312,8
Gachibowli,2691.5,4,4,3.0,5,10,19,23114657.0,8588.0,0.526,5
Ameerpet,1623.7,3,4,2.0,10,7,13,9171857.0,5648.7,0.538,0
Kondapur,1221.8,2,3,1.0,10,2,7,8255190.0,6756.6,0.286,9
Kukatpally,2899.8,4,5,2.0,3,5,17,15073459.0,5198.1,0.294,10
Gachibowli,1588.9,3,4,1.0,1,0,2,15219758.0,9578.8,0.0,5
LB Nagar,1810.6,3,3,1.0,2,2,25,9065939.0,5007.1,0.08,11
Kondapur,972.1,2,3,2.0,2,11,23,7400068.0,7612.5,0.478,9
Nizampet,1690.5,3,3,3.0,7,10,10,8349512.0,4939.1,1.0,16
Hitech City,1873.0,3,4,1.0,20,12,14,15094488.0,8059.0,0.857,6
Kompally,1662.1,3,3,1.0,25,2,16,6026528.0,3625.9,0.125,8
LB Nagar,2046.4,4,5,1.0,5,5,16,8513320.0,4160.1,0.312,11
Hitech City,1147.1,2,2,1.0,2,14,21,9414772.0,8207.5,0.667,6
Begumpet,1232.4,2,2,1.0,7,13,15,8575606.0,6958.5,0.867,2
Tellapur,1038.4,2,3,1.0,10,8,14,6433655.0,6195.7,0.571,18
Begumpet,1742.4,3,3,3.0,20,13,18,11866915.0,6810.7,0.722,2
Kondapur,1207.9,2,2,0.0,0,12,21,9058831.0,7499.7,0.571,9
Tellapur,1700.8,3,4,1.0,3,12,14,13881623.0,8161.8,0.857,18
Nallagandla,1140.8,2,2,2.0,0,3,13,7728951.0,6775.0,0.231,15
LB Nagar,2188.2,4,4,1.0,1,0,2,9938656.0,4541.9,0.0,11
Financial District,996.6,2,3,1.0,10,16,18,8769101.0,8799.0,0.889,4
Uppal,1847.4,3,3,1.0,20,2,19,7695632.0,4165.7,0.105,19
LB Nagar,1144.4,2,3,2.0,1,7,11,4809607.0,4202.7,0.636,11
Nallagandla,1963.3,3,4,0.0,3,8,12,11795411.0,6008.0,0.667,15
Gachibowli,1485.6,3,4,1.0,15,19,25,11575654.0,7791.9,0.76,5
Gachibowli,1188.4,2,2,2.0,10,11,24,10560169.0,8886.0,0.458,5
Miyapur,3155.5,5,5,1.0,25,14,17,15175696.0,4809.3,0.824,14
Manikonda,1771.8,3,3,2.0,7,19,25,11566336.0,6528.0,0.76,13
Kukatpally,1146.7,2,2,1.0,20,5,10,5525554.0,4818.7,0.5,10
Hitech City,1028.4,2,3,1.0,1,18,19,9116060.0,8864.3,0.947,6
Financial District,2245.6,4,4,2.0,10,6,6,18084011.0,8053.1,1.0,4
Begumpet,1211.0,2,3,2.0,0,4,12,9190488.0,7589.2,0.333,2
Jubilee Hills,1444.7,2,2,2.0,15,7,11,20101699.0,13914.1,0.636,7
Miyapur,1515.2,3,3,1.0,3,20,24,8796521.0,5805.5,0.833,14
Jubilee Hills,1607.1,3,4,2.0,5,4,15,25013930.0,15564.6,0.267,7
Uppal,1728.6,3,3,3.0,10,2,4,7341675.0,4247.2,0.5,19
Manikonda,1590.2,3,3,1.0,5,8,10,10161213.0,6389.9,0.8,13
Bowenpally,1478.9,3,4,1.0,1,11,20,8007319.0,5414.4,0.55,3
Miyapur,1484.2,3,3,1.0,1,1,14,7037067.0,4741.3,0.071,14
Financial District,582.6,1,2,1.0,1,12,21,5649264.0,9696.6,0.571,4
Nizampet,3101.3,5,6,1.0,7,4,24,17113052.0,5518.0,0.167,16
Kondapur,1408.2,2,2,0.0,5,2,18,9214813.0,6543.7,0.111,9
Kondapur,2150.9,3,4,2.0,2,1,2,14750405.0,6857.8,0.5,9
Miyapur,1654.4,3,3,2.0,10,1,3,9644708.0,5829.7,0.333,14
Ameerpet,1416.8,2,3,1.0,2,1,22,9190764.0,6487.0,0.045,0
Miyapur,1206.5,2,2,1.0,3,12,12,7292918.0,6044.7,1.0,14
Tellapur,2418.3,4,4,1.0,3,7,12,16871728.0,6976.7,0.583,18
Nizampet,1357.7,3,3,0.0,5,3,21,7847773.0,5780.2,0.143,16
Financial District,1685.6,3,4,1.0,10,9,23,15860658.0,9409.5,0.391,4
Financial District,1001.2,2,2,0.0,7,10,21,8821545.0,8811.0,0.476,4
Jubilee Hills,670.9,1,2,2.0,5,11,23,8817046.0,13142.1,0.478,7
Madhapur,1055.3,2,2,2.0,2,12,14,9972072.0,9449.5,0.857,12
Uppal,1633.7,3,3,3.0,5,19,21,7738714.0,4736.9,0.905,19
Ameerpet,400.0,1,1,2.0,5,3,7,2504901.0,6262.3,0.429,0
Kondapur,1090.8,2,3,2.0,5,2,5,8373160.0,7676.2,0.4,9
